Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
A0A516FFX4	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5ARA1	uncultured archaeon	Archaea						uncultured archaeon
K4F4F5	uncultured archaeon	Archaea						uncultured archaeon
T1W285	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJH4	uncultured archaeon	Archaea						uncultured archaeon
A0A516FG49	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJ89	uncultured archaeon	Archaea						uncultured archaeon
K4F4E9	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUL1	uncultured archaeon	Archaea						uncultured archaeon
A0A516FH27	uncultured archaeon	Archaea						uncultured archaeon
A0A1X9ZJU3	uncultured archaeon	Archaea						uncultured archaeon
A1ILU0	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
G3FH23	crenarchaeote SCGC AAA288-C14	Archaea	Crenarchaeota					crenarchaeote SCGC AAA288-C14
A0A7S6CZP2	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5G7	uncultured archaeon	Archaea						uncultured archaeon
W8PTZ6	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQK9	uncultured archaeon	Archaea						uncultured archaeon
A0A345GRB5	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGC5	uncultured archaeon	Archaea						uncultured archaeon
A0A346I680	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5X2	uncultured archaeon	Archaea						uncultured archaeon
K4F3W8	uncultured archaeon	Archaea						uncultured archaeon
A0A346I551	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5H1	uncultured archaeon	Archaea						uncultured archaeon
A0A516FH30	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQ35	uncultured archaeon	Archaea						uncultured archaeon
K4F4E0	uncultured archaeon	Archaea						uncultured archaeon
K4F4X3	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUG6	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGY7	uncultured archaeon	Archaea						uncultured archaeon
A0A0A1EJ93	uncultured archaeon	Archaea						uncultured archaeon
A0A0K2D540	uncultured archaeon	Archaea						uncultured archaeon
K4F4C0	uncultured archaeon	Archaea						uncultured archaeon
W8PEA1	uncultured archaeon	Archaea						uncultured archaeon
T1W2L7	uncultured archaeon	Archaea						uncultured archaeon
T1WQ27	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0RSQ4	uncultured archaeon	Archaea						uncultured archaeon
